Abstract,tokenized_abstract
"One of the principles of Persian medicine (PM) is the individualized approach that is presented with the concept of Mizaj. In this viewpoint, on the whole body, Mizaj is determined for every person based on 10 criteria, which is a result of the Mizaj of the main organs, including the brain, liver, and heart. There is no standard diagnostic tool for Mizaj assessment yet. The purpose of this study is to explain the method of Mizaj assessment and data analysis in the elderly in one of the biggest health and aging projects in Iran. The second phase of the Amirkola health and aging project (AHAP) evaluated more than 1,700 clinical and laboratory examinations of 2135 elderly people.",One principles Persian medicine PM individualized approach presented concept Mizaj viewpoint whole body Mizaj determined every person based 10 criteria result Mizaj main organs including brain liver heart standard diagnostic tool Mizaj assessment yet purpose study explain method Mizaj assessment data analysis elderly one biggest health aging projects Iran second phase Amirkola health aging project AHAP evaluated 1700 clinical laboratory examinations 2135 elderly people
"Liver transplantation is one of the most effective treatments for acute liver failure, chronic liver cirrhosis, and hepatocellular carcinoma. This study was implemented to evaluate the survival rate of liver transplant in Asia.",Liver transplantation one effective treatments acute liver failure chronic liver cirrhosis hepatocellular carcinoma study implemented evaluate survival rate liver transplant Asia
"Hematuria is one of the most common symptoms in nephrology and urology. Due to the lack of extensive meta-analysis studies on the epidemiology of hematuria in Iran, this study was conducted to determine the epidemiological status of hematuria in Iran.",Hematuria one common symptoms nephrology urology Due lack extensive metaanalysis studies epidemiology hematuria Iran study conducted determine epidemiological status hematuria Iran
"A paucity of data exists on how social determinants of health (SDOH) influence treatment for Hepatocellular carcinoma (HCC). We investigated associations between SDOH (healthcare access, education, social/community context, economic stability, and built/neighborhood environment) and receipt of surgery.",paucity data exists social determinants health SDOH influence treatment Hepatocellular carcinoma HCC investigated associations SDOH healthcare access education socialcommunity context economic stability builtneighborhood environment receipt surgery
Hepatitis C virus (HCV) infection and excessive alcohol consumption are leading causes of liver disease worldwide. Direct acting antivirals (DAAs) are well-tolerated treatments for HCV infections with high sustained virologic response (SVR) rates. There are limited data assessing the influence of alcohol use on DAA uptake and cure.,Hepatitis C virus HCV infection excessive alcohol consumption leading causes liver disease worldwide Direct acting antivirals DAAs welltolerated treatments HCV infections high sustained virologic response SVR rates limited data assessing influence alcohol use DAA uptake cure
"As the incidence of deaths from external causes including poisonings, suicide, and alcohol-related liver disease, increases in countries such as the United States and Canada, a better understanding of the fundamental social determinants of the substance use underlying these so-called ""deaths of despair"", at the population level, is needed. Using data from the nationally representative data from the Canadian Community Health Survey (2003, 2015-2016, 2018 cycles) (N = 30,729), the independent associations between age, sex, marital status, immigrant status, race/ethnicity, education, income, rurality, affective health and the use of illicit substances, opioids (without distinction for prescription status), problematic levels of alcohol, and combined past-year use (≥2) of substances, were explored using multivariate logistic regression, marginal risk, and population attributable fraction estimation, with propensity score-adjusted sensitivity analyses. Males, those who were under 29 years, without a partner, born in Canada, White, or had an affective disorder reported both higher use of individual substances and multiple substances in the past year. Social determinants appear to explain a substantial proportion of substance use patterns overall. Between 10% and 45% of illicit substance, problematic alcohol, and polysubstance use prevalence was attributable to non-partnered marital status, non-immigrant status, and White race/ethnicity. Of opioid use prevalence, 25% was attributable to White race/ethnicity, 13% to affective disorder status and 4% to lower-income. Though not all substance use will result in substance-related morbidity or mortality, these findings highlight the role of social determinants in shaping the intermediary behavioural outcomes that shape population-level risk of ""deaths of despair"".",incidence deaths external causes including poisonings suicide alcoholrelated liver disease increases countries United States Canada better understanding fundamental social determinants substance use underlying socalled deaths despair population level needed Using data nationally representative data Canadian Community Health Survey 2003 20152016 2018 cycles N 30729 independent associations age sex marital status immigrant status raceethnicity education income rurality affective health use illicit substances opioids without distinction prescription status problematic levels alcohol combined pastyear use 2 substances explored using multivariate logistic regression marginal risk population attributable fraction estimation propensity scoreadjusted sensitivity analyses Males 29 years without partner born Canada White affective disorder reported higher use individual substances multiple substances past year Social determinants appear explain substantial proportion substance use patterns overall 10 45 illicit substance problematic alcohol polysubstance use prevalence attributable nonpartnered marital status nonimmigrant status White raceethnicity opioid use prevalence 25 attributable White raceethnicity 13 affective disorder status 4 lowerincome Though substance use result substancerelated morbidity mortality findings highlight role social determinants shaping intermediary behavioural outcomes shape populationlevel risk deaths despair
We sought to determine the impact of social determinants of health (SDoH) on outcomes of patients undergoing resection for hepatocellular carcinoma (HCC).,sought determine impact social determinants health SDoH outcomes patients undergoing resection hepatocellular carcinoma HCC
"Oxidative stress plays an important role in the pathology of thyroid disorders. This study examined the effect of gallic acid (GA) on the oxidative status and expression of liver antioxidant genes including thioredoxin (TXN1 & TXN2) and thioredoxin reductase1 (TXNRd1) in hypo- and hyperthyroid rat models. Forty-nine male Wistar rats were randomly assigned into seven groups as follows: control group, hypothyroid and hyperthyroid groups respectively induced by propylthiouracil and levothyroxine, hypo- and hyper thyroid-treated groups (where the groups were separately treated with 50 and 100 mg/kg of GA daily, orally). The levels of thyroid hormones and serum oxidative stress markers were evaluated after 5 weeks. The relative expression of TXN1,2 and TXNRd1 genes was measured via real-time qRT-PCR. The mean level of total antioxidant capacity (TAC), malondialdehyde, and uric acid index diminished in the hypothyroid group. Increased TAC reached almost the level of control in hypothyroid groups treated with GA. Elevation of thiol index in the hypothyroid group was observed (",Oxidative stress plays important role pathology thyroid disorders study examined effect gallic acid GA oxidative status expression liver antioxidant genes including thioredoxin TXN1 TXN2 thioredoxin reductase1 TXNRd1 hypo hyperthyroid rat models Fortynine male Wistar rats randomly assigned seven groups follows control group hypothyroid hyperthyroid groups respectively induced propylthiouracil levothyroxine hypo hyper thyroidtreated groups groups separately treated 50 100 mgkg GA daily orally levels thyroid hormones serum oxidative stress markers evaluated 5 weeks relative expression TXN12 TXNRd1 genes measured via realtime qRTPCR mean level total antioxidant capacity TAC malondialdehyde uric acid index diminished hypothyroid group Increased TAC reached almost level control hypothyroid groups treated GA Elevation thiol index hypothyroid group observed
"The aim of this review was to combine the results of published cohort studies to determine the exact association between chronic liver disorders, and the severe form of COVID-19, and its associated complications.",aim review combine results published cohort studies determine exact association chronic liver disorders severe form COVID19 associated complications
"There is a lack of consensus on the social determinants of Deaths of Despair (DoD), i.e., an increase in mortality attributed to drug overdose, alcohol-related liver disease, and suicide in the United States (USA) during recent years. The objective of this study was to review the scientific literature on DoD with the purpose of identifying relevant social determinants and inequalities related to these mortality trends.",lack consensus social determinants Deaths Despair DoD ie increase mortality attributed drug overdose alcoholrelated liver disease suicide United States USA recent years objective study review scientific literature DoD purpose identifying relevant social determinants inequalities related mortality trends
"To compare survival outcomes (all-cause, cancer-specific, and disease-free) for small hepatocellular carcinomas (HCCs), less than or equal to 5 cm, after ablation (AB) and surgical resection (SR) after adjusting for key confounders. Secondarily, to understand differential survival outcomes of liver transplant (TR) compared with SR and AB.",compare survival outcomes allcause cancerspecific diseasefree small hepatocellular carcinomas HCCs less equal 5 cm ablation AB surgical resection SR adjusting key confounders Secondarily understand differential survival outcomes liver transplant TR compared SR AB
The Dietary Inflammatory Index (DII) is a documented nutritional tool for assessing diet-induced inflammation that has been linked to various diseases/outcomes. The association between DII and gallstone disease (GSD) is yet to be explored. The objective of this study was to examine the association between DII and GSD.,Dietary Inflammatory Index DII documented nutritional tool assessing dietinduced inflammation linked various diseasesoutcomes association DII gallstone disease GSD yet explored objective study examine association DII GSD
"More than 3 billion people do not have access to clean energy and primarily use solid fuels to cook. Use of solid fuels generates household air pollution, which was associated with more than 2 million deaths in 2019. Although local patterns in cooking vary systematically, subnational trends in use of solid fuels have yet to be comprehensively analysed. We estimated the prevalence of solid-fuel use with high spatial resolution to explore subnational inequalities, assess local progress, and assess the effects on health in low-income and middle-income countries (LMICs) without universal access to clean fuels.",3 billion people access clean energy primarily use solid fuels cook Use solid fuels generates household air pollution associated 2 million deaths 2019 Although local patterns cooking vary systematically subnational trends use solid fuels yet comprehensively analysed estimated prevalence solidfuel use high spatial resolution explore subnational inequalities assess local progress assess effects health lowincome middleincome countries LMICs without universal access clean fuels
"Common treatments of liver disease failed to meet all the needs in this important medical field. It results in an urgent need for proper some new adjuvant therapies. Mesenchymal stem cells (MSCs) and their derivatives are promising tools in this regard. We aimed to compare the Silymarin, as traditional treatment with mesenchymal stem cell conditioned medium (MSC-CM), as a novel strategy, both with therapeutic potentialities in term of liver failure (LF) treatment.",Common treatments liver disease failed meet needs important medical field results urgent need proper new adjuvant therapies Mesenchymal stem cells MSCs derivatives promising tools regard aimed compare Silymarin traditional treatment mesenchymal stem cell conditioned medium MSCCM novel strategy therapeutic potentialities term liver failure LF treatment
"Large medical centers in urban areas, like Los Angeles, care for a diverse patient population and offer the potential to study the interplay between genetic ancestry and social determinants of health. Here, we explore the implications of genetic ancestry within the University of California, Los Angeles (UCLA) ATLAS Community Health Initiative-an ancestrally diverse biobank of genomic data linked with de-identified electronic health records (EHRs) of UCLA Health patients (N=36,736).",Large medical centers urban areas like Los Angeles care diverse patient population offer potential study interplay genetic ancestry social determinants health explore implications genetic ancestry within University California Los Angeles UCLA ATLAS Community Health Initiativean ancestrally diverse biobank genomic data linked deidentified electronic health records EHRs UCLA Health patients N36736
"Opium use was recently classified as a human carcinogen for lung cancer by the International Agency for Research on Cancer. We conducted a large, multicenter case-control study evaluating the association between opium use and the risk of lung cancer. We recruited 627 cases and 3477 controls from May 2017 to July 2020. We used unconditional logistic regression analyses to estimate the odds ratios (OR) and 95% confidence intervals (CI) and measured the association between opium use and the risk of lung cancer. The ORs were adjusted for the residential place, age, gender, socioeconomic status, cigarettes, and water pipe smoking. We found a 3.6-fold risk of lung cancer for regular opium users compared to never users (95% CI: 2.9, 4.6). There was a strong dose-response association between a cumulative count of opium use and lung cancer risk. The OR for regular opium use was higher for small cell carcinoma than in other histology (8.3, 95% CI: 4.8, 14.4). The OR of developing lung cancer among opium users was higher in females (7.4, 95% CI: 3.8, 14.5) than in males (3.3, 95% CI: 2.6, 4.2). The OR for users of both opium and tobacco was 13.4 (95% CI: 10.2, 17.7) compared to nonusers of anything. The risk of developing lung cancer is higher in regular opium users, and these results strengthen the conclusions on the carcinogenicity of opium. The association is stronger for small cell carcinoma cases than in other histology.",Opium use recently classified human carcinogen lung cancer International Agency Research Cancer conducted large multicenter casecontrol study evaluating association opium use risk lung cancer recruited 627 cases 3477 controls May 2017 July 2020 used unconditional logistic regression analyses estimate odds ratios 95 confidence intervals CI measured association opium use risk lung cancer ORs adjusted residential place age gender socioeconomic status cigarettes water pipe smoking found 36fold risk lung cancer regular opium users compared never users 95 CI 29 46 strong doseresponse association cumulative count opium use lung cancer risk regular opium use higher small cell carcinoma histology 83 95 CI 48 144 developing lung cancer among opium users higher females 74 95 CI 38 145 males 33 95 CI 26 42 users opium tobacco 134 95 CI 102 177 compared nonusers anything risk developing lung cancer higher regular opium users results strengthen conclusions carcinogenicity opium association stronger small cell carcinoma cases histology
"Bone indexes including trabecular bone score (TBS) and bone mineral density (BMD) have been shown to be associated with wide spectrum of variables including physical activity, vitamin D, liver enzymes, biochemical measurements, mental and sleep disorders, and quality of life. Here we aimed to determine the most important factors related to TBS and BMD in SUVINA dataset.",Bone indexes including trabecular bone score TBS bone mineral density BMD shown associated wide spectrum variables including physical activity vitamin liver enzymes biochemical measurements mental sleep disorders quality life aimed determine important factors related TBS BMD SUVINA dataset
"The syndemic of hazardous alcohol consumption, opioid use, and obesity has led to important changes in liver disease epidemiology that have exacerbated health disparities. Health disparities occur when plausibly avoidable health differences are experienced by socially disadvantaged populations. Highlighting health disparities, their sources, and consequences in chronic liver disease is fundamental to improving liver health outcomes. There have been large increases in alcohol use disorder in women, racial and ethnic minorities, and those experiencing poverty in the context of poor access to alcohol treatment, leading to increasing rates of alcohol-associated liver diseases. Rising rates of NAFLD and associated fibrosis have been observed in Hispanic persons, women aged > 50, and individuals experiencing food insecurity. Access to viral hepatitis screening and linkage to treatment are suboptimal for racial and ethnic minorities and individuals who are uninsured or underinsured, resulting in greater liver-related mortality and later-stage diagnoses of HCC. Data from more diverse cohorts on autoimmune and cholestatic liver diseases are lacking, supporting the need to study the contemporary epidemiology of these disorders in greater detail. Herein, we review the existing literature on racial and ethnic, gender, and socioeconomic disparities in chronic liver diseases using a social determinants of health framework to better understand how social and structural factors cause health disparities and affect chronic liver disease outcomes. We also propose potential solutions to eliminate disparities, outlining health-policy, health-system, community, and individual solutions to promote equity and improve health outcomes.",syndemic hazardous alcohol consumption opioid use obesity led important changes liver disease epidemiology exacerbated health disparities Health disparities occur plausibly avoidable health differences experienced socially disadvantaged populations Highlighting health disparities sources consequences chronic liver disease fundamental improving liver health outcomes large increases alcohol use disorder women racial ethnic minorities experiencing poverty context poor access alcohol treatment leading increasing rates alcoholassociated liver diseases Rising rates NAFLD associated fibrosis observed Hispanic persons women aged 50 individuals experiencing food insecurity Access viral hepatitis screening linkage treatment suboptimal racial ethnic minorities individuals uninsured underinsured resulting greater liverrelated mortality laterstage diagnoses HCC Data diverse cohorts autoimmune cholestatic liver diseases lacking supporting need study contemporary epidemiology disorders greater detail Herein review existing literature racial ethnic gender socioeconomic disparities chronic liver diseases using social determinants health framework better understand social structural factors cause health disparities affect chronic liver disease outcomes also propose potential solutions eliminate disparities outlining healthpolicy healthsystem community individual solutions promote equity improve health outcomes
"Digital health interventions have become increasingly common across health care, both before and during the COVID-19 pandemic. Health inequalities, particularly with respect to ethnicity, may not be considered in frameworks that address the implementation of digital health interventions. We considered frameworks to include any models, theories, or taxonomies that describe or predict implementation, uptake, and use of digital health interventions.",Digital health interventions become increasingly common across health care COVID19 pandemic Health inequalities particularly respect ethnicity may considered frameworks address implementation digital health interventions considered frameworks include models theories taxonomies describe predict implementation uptake use digital health interventions
"Background Liver transplantation is the life-saving standard of care for those with end-stage liver disease. Unfortunately, many patients on the liver transplant list die waiting. Several studies have demonstrated significant differences based on disparities in race, gender, and multiple socioeconomic factors. We sought to evaluate recent disparities among patients receiving liver transplants using the latest available data from the National Inpatient Sample (NIS), the largest publicly available inpatient care database in the United States. Methods We performed an analysis of discharge data from the NIS between 2016 and 2019. We identified adult patients with chronic liver disease who underwent a liver transplant using the International Classification of Diseases, 10th revision (ICD-10) codes. Multivariate logistic regression was used to adjust for differences in race, gender, socioeconomic status, and comorbidities among those who received a liver transplant. Results A total of 24,595 liver transplants were performed over the study period. Female gender was independently associated with decreased transplant rates (adjusted odds ratio (AOR) 0.83, 95% confidence interval (CI), 0.78-0.89, P < 0.001). Compared to White patients, Black patients had decreased transplant rates (AOR 0.86, 95% CI, 0.75-0.99, P = 0.034), as did Native Americans (AOR 0.64; 95% CI, 0.42-0.97, P = 0.035). Hispanics and Asian Americans had increased rates of liver transplantation (AOR 1.16, 95% CI 1.02-1.32, P = 0.022, and 1.36, 95% CI 1.11-1.67, P = 0.003; respectively). The increase in income quartile was associated with an incremental increase in transplant rates. Additionally, patients with private insurance had much higher transplant rates compared to those with Medicare (AOR 2.50, 95% CI 2.31-2.70, P < 0.001) while patients without insurance had the lowest rates of transplantation (AOR 0.18, 95% CI 0.12-0.28, P < 0.001). Conclusions Our analysis demonstrates that race, gender, and other social determinants of health have significant impacts on the likelihood of receiving a liver transplant. Our study, on a national level, confirms previously described disparities in receiving liver transplantation. Patient-level studies are needed to better understand how these variables translate into differing liver transplantation rates.",Background Liver transplantation lifesaving standard care endstage liver disease Unfortunately many patients liver transplant list die waiting Several studies demonstrated significant differences based disparities race gender multiple socioeconomic factors sought evaluate recent disparities among patients receiving liver transplants using latest available data National Inpatient Sample NIS largest publicly available inpatient care database United States Methods performed analysis discharge data NIS 2016 2019 identified adult patients chronic liver disease underwent liver transplant using International Classification Diseases 10th revision ICD10 codes Multivariate logistic regression used adjust differences race gender socioeconomic status comorbidities among received liver transplant Results total 24595 liver transplants performed study period Female gender independently associated decreased transplant rates adjusted odds ratio AOR 083 95 confidence interval CI 078089 P 0001 Compared White patients Black patients decreased transplant rates AOR 086 95 CI 075099 P 0034 Native Americans AOR 064 95 CI 042097 P 0035 Hispanics Asian Americans increased rates liver transplantation AOR 116 95 CI 102132 P 0022 136 95 CI 111167 P 0003 respectively increase income quartile associated incremental increase transplant rates Additionally patients private insurance much higher transplant rates compared Medicare AOR 250 95 CI 231270 P 0001 patients without insurance lowest rates transplantation AOR 018 95 CI 012028 P 0001 Conclusions analysis demonstrates race gender social determinants health significant impacts likelihood receiving liver transplant study national level confirms previously described disparities receiving liver transplantation Patientlevel studies needed better understand variables translate differing liver transplantation rates
"Texas has the highest hepatocellular carcinoma (HCC) incidence rates in the continental United States, but these rates vary by race-ethnicity. We examined racial-ethnic disparities through a geospatial analysis of the social determinants of health.",Texas highest hepatocellular carcinoma HCC incidence rates continental United States rates vary raceethnicity examined racialethnic disparities geospatial analysis social determinants health
Inflammatory bowel disease (IBD) is a broad term that refers to a group of chronic inflammatory disorders that have an unknown origin and might be associated with other diseases. The aim of this study was to determine the frequency of chronic diseases in patients with IBD.,Inflammatory bowel disease IBD broad term refers group chronic inflammatory disorders unknown origin might associated diseases aim study determine frequency chronic diseases patients IBD
"We conducted a cross-sectional study to evaluate the role of serum levels of CA125 and HE4 in predicting optimal cytoreductive surgery. Eligible women who had been diagnosed with ovarian cancer based on both clinical and imaging criteria were enrolled in this study. Serum levels of CA 125 and HE4 were checked before surgery and all patients underwent complete surgical staging. After completion of the pathological evaluation, data were entered in SPSS version 23. One hundred and ten individuals were enrolled in our study. We divided cases between two groups: stage I to III b and stage IIIc to IV. Serum level of HE4 >170 pmol/L can predict optimal cytoreductive surgery before operation. (sensitivity:80% and specificity 70%) and serum level of CA 125 > 320 UI/mL can predict optimal cytoreductive surgery before operation. (sensitivity:80% and specificity 70%). Our data demonstrated a negative predictive value of about 80% for both HE4 and CA125. Based on these cut-off, unnecessary surgery can be avoided in many cases, however, it is unwise to ignore clinical performance and radiological findings. Nevertheless, we can say the evaluation of tumor markers is feasible and helpful in predicting optimal surgery.",conducted crosssectional study evaluate role serum levels CA125 HE4 predicting optimal cytoreductive surgery Eligible women diagnosed ovarian cancer based clinical imaging criteria enrolled study Serum levels CA 125 HE4 checked surgery patients underwent complete surgical staging completion pathological evaluation data entered SPSS version 23 One hundred ten individuals enrolled study divided cases two groups stage III b stage IIIc IV Serum level HE4 170 pmolL predict optimal cytoreductive surgery operation sensitivity80 specificity 70 serum level CA 125 320 UImL predict optimal cytoreductive surgery operation sensitivity80 specificity 70 data demonstrated negative predictive value 80 HE4 CA125 Based cutoff unnecessary surgery avoided many cases however unwise ignore clinical performance radiological findings Nevertheless say evaluation tumor markers feasible helpful predicting optimal surgery
Societal factors that influence wait-listing for transplantation are complex and poorly understood. Social determinants of health (SDOH) affect rates of and outcomes after transplantation.,Societal factors influence waitlisting transplantation complex poorly understood Social determinants health SDOH affect rates outcomes transplantation
"Liver transplantation is a life-saving treatment for children who are in liver failure. The survival rate index is used to assess the success rate of liver transplantation. The study aimed to assess the survival rate of liver transplantation in children. We searched 5 international databases in this study, including Medline/PubMed, ProQuest, Scopus, Web of Knowledge, and Google Scholar, for published articles by the end of 2020. Also, meta-regression analysis was performed based on the year of the study, and subgroup analysis was performed according to continents. A total of 425 titles were reviewed. Based on the results, 96 articles were entered in the meta-analysis. Established on the random-effect model, the survival rates of 1, 3, 5, and 10 years of transplantation were 86.62%, 77.74%, 73.95%, and 68.60%, respectively. Also, based on the meta-regression results, there was a relationship between the year of the study and the survival rate, as the study year gets more recent, the survival rate is increased. This study can provide documented and comprehensive evidence which can be the basis of many policies and decisions in various sectors of health development, including evaluating treatment options and health interventions in transplantation.",Liver transplantation lifesaving treatment children liver failure survival rate index used assess success rate liver transplantation study aimed assess survival rate liver transplantation children searched 5 international databases study including MedlinePubMed ProQuest Scopus Web Knowledge Google Scholar published articles end 2020 Also metaregression analysis performed based year study subgroup analysis performed according continents total 425 titles reviewed Based results 96 articles entered metaanalysis Established randomeffect model survival rates 1 3 5 10 years transplantation 8662 7774 7395 6860 respectively Also based metaregression results relationship year study survival rate study year gets recent survival rate increased study provide documented comprehensive evidence basis many policies decisions various sectors health development including evaluating treatment options health interventions transplantation
Cancers seldom happen in childhood age and awareness of accurate cancer incidence is essential in order to preventive programs. This study aimed to estimate the childhood cancer incidence in Iran using the three-source capture -recapture method.,Cancers seldom happen childhood age awareness accurate cancer incidence essential order preventive programs study aimed estimate childhood cancer incidence Iran using threesource capture recapture method
Chronic subdural hematomas (CSDH) is frequently encountered in neurosurgical practice. The aim of this study was to investigate the factors associated with the outcome of Burr Hole Craniotomy.,Chronic subdural hematomas CSDH frequently encountered neurosurgical practice aim study investigate factors associated outcome Burr Hole Craniotomy
"Elevated blood pressure is associated with cardiovascular disease, stroke and chronic kidney disease. In this study, we examined the socioeconomic inequality and its related factors in prevalence, Awareness, Treatment and Control (ATC) of hypertension (HTN) in Iran.",Elevated blood pressure associated cardiovascular disease stroke chronic kidney disease study examined socioeconomic inequality related factors prevalence Awareness Treatment Control ATC hypertension HTN Iran
"Research on the care of inflammatory bowel disease (IBD) patients has been primarily in populations of European ancestry. However, the incidence of IBD, which comprises Crohn's disease and ulcerative colitis, is increasing in different populations around the world. In this comprehensive review, we examine the epidemiology, clinical presentations, disease phenotypes, treatment outcomes, social determinants of health, and genetic and environmental factors in the pathogenesis of IBD in Black and Hispanic patients in the United States. To improve health equity of underserved minorities with IBD, we identified the following priority areas: access to care, accurate assessment of treatment outcomes, incorporation of Black and Hispanic patients in therapeutic clinical trials, and investigation of environmental factors that lead to the increase in disease incidence.",Research care inflammatory bowel disease IBD patients primarily populations European ancestry However incidence IBD comprises Crohns disease ulcerative colitis increasing different populations around world comprehensive review examine epidemiology clinical presentations disease phenotypes treatment outcomes social determinants health genetic environmental factors pathogenesis IBD Black Hispanic patients United States improve health equity underserved minorities IBD identified following priority areas access care accurate assessment treatment outcomes incorporation Black Hispanic patients therapeutic clinical trials investigation environmental factors lead increase disease incidence
"The prevention of hepatocellular carcinoma (HCC) and reduction of its disparities necessitates research on the role of contextual social determinants of health. Empirical evidence on the role of contextual factors (e.g., neighborhood built and social environment) in these disparities is extremely limited. Oluyomi and colleagues conducted a Texas-wide study examining the contribution of neighborhood-level socioeconomic deprivation, proxied by the area deprivation index on HCC disparities. Future studies are needed to complement and extend these findings. See related article by Oluyomi et al., p. 1402.",prevention hepatocellular carcinoma HCC reduction disparities necessitates research role contextual social determinants health Empirical evidence role contextual factors eg neighborhood built social environment disparities extremely limited Oluyomi colleagues conducted Texaswide study examining contribution neighborhoodlevel socioeconomic deprivation proxied area deprivation index HCC disparities Future studies needed complement extend findings See related article Oluyomi et al p 1402
The incidence of inflammatory bowel disease (IBD) is increasing in minority groups across the USA. There are racial and ethnic disparities in IBD care and outcomes that are rooted in historical injustice and inequities in the social determinants of health.,incidence inflammatory bowel disease IBD increasing minority groups across USA racial ethnic disparities IBD care outcomes rooted historical injustice inequities social determinants health
"This cross-sectional study aimed to determine potential factors with a strong association with metabolic syndrome (MetS) among obesity and lipid-related parameters, and liver enzymes, fasting blood glucose (FBG), and blood pressure (BP) as well as some sociodemographic factors in elderly over 60 years old from a sample of Birjand Longitudinal Aging Study (BLAS).",crosssectional study aimed determine potential factors strong association metabolic syndrome MetS among obesity lipidrelated parameters liver enzymes fasting blood glucose FBG blood pressure BP well sociodemographic factors elderly 60 years old sample Birjand Longitudinal Aging Study BLAS
"We aimed to investigate the clinical, laboratory, and electrocardiographic (ECG) findings of colchicine poisoning and to evaluate if there is a correlation between them and the two major outcomes of this toxicity which are respiratory/cardiovascular failure and death.",aimed investigate clinical laboratory electrocardiographic ECG findings colchicine poisoning evaluate correlation two major outcomes toxicity respiratorycardiovascular failure death
"Filipino Americans (FAs) are the third-largest Asian American subgroup in the United States (US). Some studies showed that FAs experience more cardiometabolic diseases (CMDs) than other Asian subgroups and non-Hispanic Whites. The increased prevalence of CMD observed in FAs could be due to genetics and social/dietary lifestyles. While FAs are ascribed as an Asian group, they have higher burdens of CMD, and adverse social determinants of health compared to other Asian subgroups. Therefore, studies to elucidate how FAs might develop CMD and respond to medications used to manage CMD are warranted. The ultimate goals of this study are to identify potential mechanisms for reducing CMD burden in FAs and to optimize therapeutic drug selection. Collectively, these investigations could reduce the cardiovascular health disparities among FAs.",Filipino Americans FAs thirdlargest Asian American subgroup United States US studies showed FAs experience cardiometabolic diseases CMDs Asian subgroups nonHispanic Whites increased prevalence CMD observed FAs could due genetics socialdietary lifestyles FAs ascribed Asian group higher burdens CMD adverse social determinants health compared Asian subgroups Therefore studies elucidate FAs might develop CMD respond medications used manage CMD warranted ultimate goals study identify potential mechanisms reducing CMD burden FAs optimize therapeutic drug selection Collectively investigations could reduce cardiovascular health disparities among FAs
"Mammography is the most effective method for early detection of breast cancer (BC), however, it has performed in low-level. The aim of this study was to investigate the determinants of mammography in Iran.",Mammography effective method early detection breast cancer BC however performed lowlevel aim study investigate determinants mammography Iran
There is no compelling evidence to prove an association between serum free L-carnitine levels and changes in left ventricular (LV) geometry. The present study aimed to evaluate a possible association between these parameters.,compelling evidence prove association serum free Lcarnitine levels changes left ventricular LV geometry present study aimed evaluate possible association parameters
"The first large serosurvey in Iran found a SARS-CoV-2 antibody seroprevalence of 17.1% among the general population in the first wave of the epidemic by April, 2020. The purpose of the current study was to assess the seroprevalence of COVID-19 infection among Iranian general population after the third wave of the disease.",first large serosurvey Iran found SARSCoV2 antibody seroprevalence 171 among general population first wave epidemic April 2020 purpose current study assess seroprevalence COVID19 infection among Iranian general population third wave disease
"We evaluated the relation between ALT, AST, GGT and ALP with diabetes in the Rafsanjan Cohort Study.",evaluated relation ALT AST GGT ALP diabetes Rafsanjan Cohort Study
"It has been over 50 years since the Stonewall Inn Riots in June 1969, a seminal event for the lesbian, gay, bisexual, transgender, queer, intersex, and other sexual and gender-diverse minorities (LGBTQI+, or lesbian, gay, bisexual, transgender, queer, intersex, and everyone else) rights movement. However, sexual and gender minority (SGM) individuals still face discrimination and harassment due to their sexual orientation or gender identity. As such, the National Institute on Minority Health and Health Disparities has identified SGM communities as a ""health disparity population."" Broadly, there are higher rates of sexually transmitted infections, substance use and abuse, mental health conditions, obesity and eating disorders, certain cancers (breast, cervical, and anorectal), and cardiovascular disease in SGM communities. Transgender patients, especially those of color, are more likely to be uninsured, experience discrimination, and be denied health care than cisgender patients. In addition, SGM individuals have twice the risk of lifetime exposure to emotional, physical, and sexual trauma compared with heterosexuals. It is expected all these factors would negatively affect digestive health as well. This review summarizes the effects of social determinants of health and discrimination on health care access, highlights important digestive diseases to consider in the SGM population, and offers solutions to improve and prioritize the health of these communities. We aim to draw attention to SGM-specific issues that affect gastrointestinal health and spur research that is desperately lacking.",50 years since Stonewall Inn Riots June 1969 seminal event lesbian gay bisexual transgender queer intersex sexual genderdiverse minorities LGBTQI lesbian gay bisexual transgender queer intersex everyone else rights movement However sexual gender minority SGM individuals still face discrimination harassment due sexual orientation gender identity National Institute Minority Health Health Disparities identified SGM communities health disparity population Broadly higher rates sexually transmitted infections substance use abuse mental health conditions obesity eating disorders certain cancers breast cervical anorectal cardiovascular disease SGM communities Transgender patients especially color likely uninsured experience discrimination denied health care cisgender patients addition SGM individuals twice risk lifetime exposure emotional physical sexual trauma compared heterosexuals expected factors would negatively affect digestive health well review summarizes effects social determinants health discrimination health care access highlights important digestive diseases consider SGM population offers solutions improve prioritize health communities aim draw attention SGMspecific issues affect gastrointestinal health spur research desperately lacking
"Although there are well-documented challenges in access to living donor liver transplant (LDLT) among recipients, it is unclear whether living liver donors (LLDs) face similar challenges.",Although welldocumented challenges access living donor liver transplant LDLT among recipients unclear whether living liver donors LLDs face similar challenges
"Recent reports of lead poisoning suggest that people who use opium may be exposed to high amounts of lead. Here, we investigate the association between opium use and blood lead levels (BLL) in a population-based cohort study.",Recent reports lead poisoning suggest people use opium may exposed high amounts lead investigate association opium use blood lead levels BLL populationbased cohort study
